Jaspar_ID	Uniprot_ID	Specie	Specie_ID	Family
MA0001.2	P29383	Arabidopsis thaliana	3702	Unknown
MA0002.2	Q01196	Mus musculus	10090	Runt-related factors
MA0003.3	P05549	Homo sapiens	9606	AP-2
MA0004.1	P53762	Mus musculus	10090	PAS domain factors
MA0005.2	P17839	Arabidopsis thaliana	3702	Unknown
MA0006.1	P30561	Mus musculus	10090	PAS domain factors
MA0007.3	P19091	Mus musculus	10090	Steroid hormone receptors (NR3)
MA0008.2	Q02283	Arabidopsis thaliana	3702	Unknown
MA0009.2	O15178	Homo sapiens	9606	Brachyury-related factors
MA0010.1	Q01295	Drosophila melanogaster	7227	Other factors with up to three adjacent zinc fingers
MA0011.1	Q01295	Drosophila melanogaster	7227	Other factors with up to three adjacent zinc fingers
MA0012.1	Q01295	Drosophila melanogaster	7227	Other factors with up to three adjacent zinc fingers
MA0013.1	Q24206	Drosophila melanogaster	7227	Other factors with up to three adjacent zinc fingers
MA0014.3	Q02548	Homo sapiens	9606	Paired domain only
MA0015.1	P20385	Drosophila melanogaster	7227	Factors with multiple dispersed zinc fingers
MA0016.1	P20153	Drosophila melanogaster	7227	Unknown
MA0017.2	P10589	Homo sapiens	9606	RXR-related receptors (NR2)
MA0018.3	P16220	Homo sapiens	9606	CREB-related factors
MA0019.1	Q62857	Rattus norvegicus	10116	C/EBP-related
MA0020.1	Q41800	Zea mays	4577	Dof-type
MA0021.1	Q41801	Zea mays	4577	Dof-type
MA0022.1	P15330	Drosophila melanogaster	7227	Unknown
MA0023.1	P15330	Drosophila melanogaster	7227	Unknown
MA0024.3	Q01094	Homo sapiens	9606	E2F-related factors
MA0025.1	Q16649	Homo sapiens	9606	C/EBP-related
MA0026.1	P20105	Drosophila melanogaster	7227	Ets-related factors
MA0027.2	Q05925	Homo sapiens	9606	NK-related factors
MA0028.2	P19419	Homo sapiens	9606	Ets-related factors
MA0029.1	A4QPC8	Mus musculus	10090	Factors with multiple dispersed zinc fingers
MA0030.1	Q12947	Homo sapiens	9606	Forkhead box (FOX) factors
MA0031.1	Q16676	Homo sapiens	9606	Forkhead box (FOX) factors
MA0032.2	Q12948	Homo sapiens	9606	Forkhead box (FOX) factors
MA0033.2	Q12952	Homo sapiens	9606	Forkhead box (FOX) factors
MA0034.1	Q96464	Hordeum vulgare	4513	Myb/SANT domain factors
MA0035.3	P17679	Mus musculus	10090	GATA-type zinc fingers
MA0036.3	P23769	Homo sapiens	9606	GATA-type zinc fingers
MA0037.3	P23771  	Homo sapiens	9606	GATA-type zinc fingers
MA0038.1	Q07120	Rattus norvegicus	10116	More than 3 adjacent zinc finger factors
MA0039.3	O43474	Homo sapiens	9606	Three-zinc finger Kruppel-related factors
MA0040.1	Q63244	Rattus norvegicus	10116	Forkhead box (FOX) factors
MA0041.1	Q63245	Rattus norvegicus	10116	Forkhead box (FOX) factors
MA0042.2	Q12951	Homo sapiens	9606	Forkhead box (FOX) factors
MA0043.2	Q16534	Homo sapiens	9606	C/EBP-related
MA0044.1	Q41026	Pisum sativum	3888	Unknown
MA0045.1	Q43877	Pisum sativum	3888	Unknown
MA0046.2	P20823	Homo sapiens	9606	POU domain factors
MA0047.2	P35583	Mus musculus	10090	Forkhead box (FOX) factors
MA0048.2	Q02575	Homo sapiens	9606	Tal-related factors
MA0049.1	P05084	Drosophila melanogaster	7227	Factors with multiple dispersed zinc fingers
MA0050.2	P10914	Homo sapiens	9606	Interferon-regulatory factors
MA0051.1	P14316	Homo sapiens	9606	Interferon-regulatory factors
MA0052.3	Q02078	Homo sapiens	9606	Regulators of differentiation
MA0053.1	P38564	Zea mays	4577	Dof-type
MA0054.1	Q02994	Petunia x hybrida	4102	Myb/SANT domain factors
MA0056.1	P28698	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0057.1	P28698	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0058.3	P61244	Homo sapiens	9606	bHLH-ZIP factors
MA0059.1	P61244	Homo sapiens	9606	bHLH-ZIP factors
MA0060.3	P23511	Homo sapiens	9606	NFY
MA0062.2	Q91YY8	Mus musculus	10090	Ets-related factors
MA0063.1	P42582	Mus musculus	10090	NK-related factors
MA0064.1	O24463	Zea mays	4577	Dof-type
MA0065.2	P37238	Mus musculus	10090	Thyroid hormone receptor-related factors (NR1)
MA0066.1	P37231	Homo sapiens	9606	Thyroid hormone receptor-related factors (NR1)
MA0067.1	P32114	Mus musculus	10090	Paired domain only
MA0068.2	O43316	Homo sapiens	9606	Paired plus homeo domain
MA0069.1	P26367	Homo sapiens	9606	Paired plus homeo domain
MA0070.1	P40424	Homo sapiens	9606	TALE-type homeo domain factors
MA0071.1	P35398	Homo sapiens	9606	Thyroid hormone receptor-related factors (NR1)
MA0072.1	P35398	Homo sapiens	9606	Thyroid hormone receptor-related factors (NR1)
MA0073.1	Q92766	Homo sapiens	9606	Factors with multiple dispersed zinc fingers
MA0074.1	P19793	Homo sapiens	9606	RXR-related receptors (NR2)
MA0075.2	Q06348	Mus musculus	10090	Paired-related HD factors
MA0076.2	P28324	Homo sapiens	9606	Ets-related factors
MA0077.1	P48436	Homo sapiens	9606	SOX-related factors
MA0078.1	Q61473	Mus musculus	10090	SOX-related factors
MA0079.3	P08047	Homo sapiens	9606	Three-zinc finger Krüppel-related factors
MA0080.4	P17947	Homo sapiens	9606	Ets-related factors
MA0081.1	Q01892	Homo sapiens	9606	Ets-related factors
MA0082.1	Q38742	Antirrhinum majus	4151	Unknown
MA0083.3	P11831	Homo sapiens	9606	Responders to external signals (SRF/RLM1)
MA0084.1	Q05066	Homo sapiens	9606	SOX-related factors
MA0085.1	P28159	Drosophila melanogaster	7227	Unknown
MA0086.2	P08044	Drosophila melanogaster	7227	More than 3 adjacent zinc finger factors
MA0087.1	P35710	Mus musculus	10090	SOX-related factors
MA0088.2	P52747	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0089.1	Q90889	Gallus gallus	9031	Maf-related factors
MA0090.2	P28347	Homo sapiens	9606	TEF-1-related factors
MA0091.1	P17542	Homo sapiens	9606	Tal-related factors
MA0092.1	Q64279	Mus musculus	10090	Tal-related factors
MA0093.2	P22415	Homo sapiens	9606	bHLH-ZIP factors
MA0094.2	P83949	Drosophila melanogaster	7227	HOX-related factors
MA0095.2	P25490	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0096.1	O22676	Antirrhinum majus	4151	Unknown
MA0097.1	O22677	Antirrhinum majus	4151	Unknown
MA0098.3	P14921	Homo sapiens	9606	Ets-related factors
MA0099.3	P01100	Homo sapiens	9606	Fos-related factors
MA0100.3	P10242	Homo sapiens	9606	Myb/SANT domain factors
MA0101.1	Q04864	Homo sapiens	9606	NF-kappaB-related factors
MA0102.3	P49715	Homo sapiens	9606	C/EBP-related
MA0103.3	P37275	Homo sapiens	9606	HD-ZF factors
MA0104.4	P04198	Homo sapiens	9606	bHLH-ZIP factors
MA0105.4	P19838	Homo sapiens	9606	NF-kappaB-related factors
MA0106.3	P04637	Homo sapiens	9606	p53-related factors
MA0107.1	Q04206	Homo sapiens	9606	NF-kappaB-related factors
MA0108.2	P20226	Unknown	Unknown	TBP-related factors
MA0109.1	Q95216	Oryctolagus cuniculus	9986	Myb/SANT domain factors
MA0110.2	P46667	Arabidopsis thaliana	3702	Unknown
MA0111.1	Q99MY0	Mus musculus	10090	Unknown
MA0112.3	P03372	Homo sapiens	9606	Steroid hormone receptors (NR3)
MA0113.3	P04150	Homo sapiens	9606	Steroid hormone receptors (NR3)
MA0114.3	P49698	Mus musculus	10090	RXR-related receptors (NR2)
MA0115.1	P55055	Homo sapiens	9606	Thyroid hormone receptor-related factors (NR1)
MA0116.1	O08961	Rattus norvegicus	10116	Factors with multiple dispersed zinc fingers
MA0117.2	P54841	Mus musculus	10090	Maf-related factors
MA0119.1	P08651	Homo sapiens	9606	Nuclear factor 1
MA0120.1	O65215	Zea mays	4577	Unknown
MA0121.1	O49397	Arabidopsis thaliana	3702	Myb/SANT domain factors
MA0122.2	P78367	Homo sapiens	9606	NK-related factors
MA0123.1	Q8L7W9	Zea mays	4577	Unknown
MA0124.2	P97436	Mus musculus	10090	NK-related factors
MA0125.1	Q8VIH1	Mus musculus	10090	Paired-related HD factors
MA0126.1	P51521	Drosophila melanogaster	7227	More than 3 adjacent zinc finger factors
MA0127.1	Q5DW98	Pisum sativum	3888	Unknown
MA0128.1	P25032	Triticum aestivum	4565	Unknown
