CisBP_ID	Uniprot_ID	Specie	Specie_ID	Family
M1327_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M0748_1.02	Unknown	Caenorhabditis elegans	Unknown	Forkhead
M1374_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Myb/SANT
M1373_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Myb/SANT
M1181_1.02	Unknown	Coprinopsis scobicola	Unknown	Homeodomain
M0042_1.02	Unknown	Oryza sativa	Unknown	AP2
M0573_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF;Zinc cluster
M1660_1.02	Unknown	Manihot esculenta	Unknown	TCP
M0435_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M0357_1.02	Unknown	Saccharomyces cerevisiae	Unknown	bZIP
M0686_1.02	Unknown	Mus musculus	Unknown	Ets
M0685_1.02	Unknown	Mus musculus	Unknown	Ets
M0886_1.02	Unknown	Danio rerio	Unknown	Homeodomain
M0326_1.02	Unknown	Caenorhabditis elegans	Unknown	bZIP
M1667_1.02	Unknown	Danio rerio	Unknown	THAP finger
M0789_1.02	Unknown	Caenorhabditis elegans	Unknown	GATA
M1456_1.02	Unknown	Mus musculus	Unknown	Nuclear receptor
M0815_1.02	Unknown	Tetraodon nigroviridis	Unknown	GCM
M0353_1.02	Unknown	Saccharomyces cerevisiae	Unknown	bZIP
M0519_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M0520_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M0015_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M0349_1.02	Unknown	Caenorhabditis elegans	Unknown	bZIP
M0338_1.02	Unknown	Neurospora crassa	Unknown	bZIP
M1110_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M0310_1.02	Unknown	Mus musculus	Unknown	bZIP
M1554_1.02	Unknown	Xenopus tropicalis	Unknown	SAND
M0786_1.02	Unknown	Caenorhabditis elegans	Unknown	GATA
M0144_1.02	Unknown	Naegleria gruberi	Unknown	AT hook
M1558_1.02	Unknown	Xenopus laevis	Unknown	SAND
M0035_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M0218_1.02	Unknown	Mus musculus	Unknown	bHLH
M0256_1.02	Unknown	Arabidopsis thaliana	Unknown	bZIP
M1606_1.02	Unknown	Neurospora crassa	Unknown	Sox
M1059_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1060_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1537_1.02	Unknown	Schistosoma japonicum	Unknown	RFX
M1062_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1227_1.02	Unknown	Apis mellifera	Unknown	POU;Homeodomain
M0518_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M0517_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M1303_1.02	Unknown	Cannabis sativa	Unknown	Myb/SANT
M0941_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1637_1.02	Unknown	Caenorhabditis elegans	Unknown	T-box
M0920_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0169_1.02	Unknown	Caenorhabditis elegans	Unknown	bHLH
M1324_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M0755_1.02	Unknown	Trionyx sinensis	Unknown	Forkhead
M1586_1.02	Unknown	Mus musculus	Unknown	Sox
M0752_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Forkhead
M0751_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Forkhead
M1536_1.02	Unknown	Saccharomyces cerevisiae	Unknown	RFX
M1345_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M1213_1.02	Unknown	Phaeosphaeria nodorum	Unknown	Homeodomain
M1117_1.02	Unknown	Tetraodon nigroviridis	Unknown	Homeodomain
M0227_1.02	Unknown	Caenorhabditis elegans	Unknown	bHLH
M0883_1.02	Unknown	Danio rerio	Unknown	Homeodomain
M0308_1.02	Unknown	Mus musculus	Unknown	bZIP
M1470_1.02	Unknown	Drosophila melanogaster	Unknown	Nuclear receptor
M1795_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1794_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1367_1.02	Unknown	Neurospora crassa	Unknown	Myb/SANT
M0811_1.02	Unknown	Meleagris gallopavo	Unknown	GCM
M0591_1.02	Unknown	Arabidopsis thaliana	Unknown	CxC
M1680_1.02	Unknown	Arabidopsis thaliana	Unknown	WRKY
M0011_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M0427_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1239_1.02	Unknown	Mus musculus	Unknown	POU;Homeodomain
M1238_1.02	Unknown	Mus musculus	Unknown	POU;Homeodomain
M0298_1.02	Unknown	Mus musculus	Unknown	bZIP
M0299_1.02	Unknown	Mus musculus	Unknown	bZIP
M0940_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1758_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M0803_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
M0056_1.02	Unknown	Plasmodium falciparum	Unknown	AP2
M1573_1.02	Unknown	Mus musculus	Unknown	SMAD
M0769_1.02	Unknown	Arabidopsis thaliana	Unknown	GATA
M0856_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M1622_1.02	Unknown	Capsaspora owczarzaki	Unknown	T-box
M0008_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M0220_1.02	Unknown	Mus musculus	Unknown	bHLH
M1438_1.02	Unknown	Mus musculus	Unknown	Nuclear receptor
M1439_1.02	Unknown	Mus musculus	Unknown	Nuclear receptor
M1350_1.02	Unknown	Dictyostelium discoideum	Unknown	Myb/SANT
M0890_1.02	Unknown	Homo sapiens	Unknown	Homeodomain
M0977_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1151_1.02	Unknown	Oikopleura dioica	Unknown	Homeodomain
M0654_1.02	Unknown	Arabidopsis thaliana	Unknown	Dof
M0123_1.02	Unknown	Aspergillus terreus	Unknown	AT hook
M0100_1.02	Unknown	Acyrtosiphon pisum	Unknown	ARID/BRIGHT
M1786_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1272_1.02	Unknown	Xenopus tropicalis	Unknown	IRF
M0175_1.02	Unknown	Mus musculus	Unknown	bHLH
M0598_1.02	Unknown	Ostreococcus tauri	Unknown	CxC
M1481_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M0113_1.02	Unknown	Neurospora crassa	Unknown	ARID/BRIGHT
M0802_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
