CisBP_ID	PDB_ID	CisBP_BS_len	PDB_BS_len	Offset	P-value
M0638_1.02	4yj0_1B	8	22	-14	1.0
M0979_1.02	6pax_1A	8	24	-9	0.138922
M0437_1.02	5v3m_1C	9	28	-14	0.884018
M0866_1.02	5ego_1A	10	17	0	0.814663
M0996_1.02	3d1n_1L	7	15	-11	0.407661
M0419_1.02	4r2d_1A	8	10	-1	0.000561996
M1149_1.02	1lfu_1P	11	14	1	0.238869
M0384_1.02	5ei9_1E	9	20	-11	0.639055
M0598_1.02	5fd3_1A	9	10	0	0.512628
M0545_1.02	5k5h_1A	8	12	-4	0.853279
M1694_1.02	2lex_1A	10	10	-1	0.00391132
M0559_1.02	2i13_1B	8	18	0	0.925377
M0565_1.02	5kea_1A	8	10	0	0.477519
M0815_1.02	1odh_1A	8	13	-2	0.000163134
M1227_1.02	1oct_1C	10	14	-4	0.211426
M0770_1.02	5gat_1A	10	13	-5	0.687988
M1393_1.02	1h8a_1C	9	19	0	0.163427
M0484_1.02	2i13_1A	9	21	-1	0.969425
M0507_1.02	2i13_1B	11	18	0	0.961548
M1497_1.02	4cn3_1D	8	14	1	0.00174613
M0857_1.02	1zq3_1P	10	13	-1	0.299914
M0998_1.02	2me6_1A	8	14	-3	0.00290629
M0910_1.02	4rdu_1D	9	12	0	0.0718118
M0461_1.02	2gli_1A	10	20	-7	5.55656e-05
M0095_1.02	4ux5_1B	7	14	-7	0.407062
M0366_1.02	1dh3_1C	12	19	-2	0.446256
M0357_1.02	1gd2_1E	10	12	-2	0.00794963
M0196_1.02	4h10_1B	10	14	-2	0.0158163
M0708_1.02	1dux_1F	10	11	-3	0.723432
M1129_1.02	1mnm_1D	8	13	-2	0.604635
M1345_1.02	5lxu_1A	13	9	4	0.00490472
M1358_1.02	1vfc_1A	9	13	-1	4.06529e-05
M1803_1.02	1hwt_1D	9	19	2	0.864771
M1453_1.02	1ga5_1A	9	19	-11	0.00464745
M1378_1.02	3osg_1A	10	12	-1	0.10733
M0299_1.02	2wt7_1A	8	15	-6	0.685863
M1244_1.02	1cqt_1A	8	14	-3	0.0141565
M1784_1.02	1hwt_1H	10	13	-1	0.188892
M0053_1.02	1mnm_1A	10	23	-7	0.999958
M1078_1.02	3a01_1A	13	17	-4	0.204666
M1146_1.02	5hod_1A	8	16	-8	0.196844
